Data ksiêgowania;Data efektywna;Nazwa transakcji i opis;Kwota;Waluta;Saldo po operacji
02-05-2019;28-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9615; Kwota w walucie rozliczeniowej: 40.51 USD 925.40 CZK z dnia:2019-04-28 Kod MCC 5541  CZE,ZABREH SHELL 8104  ";-42.13;"EUR";-23.13
02-05-2019;28-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9615; Kwota w walucie rozliczeniowej: 2.93 USD 67.00 CZK z dnia:2019-04-28 Kod MCC 5541  CZE,LADNA L SHELL 8048  ";-3.05;"EUR";19.00
02-05-2019;28-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9615; Kwota w walucie rozliczeniowej: 1.71 USD 39.00 CZK z dnia:2019-04-28 Kod MCC 5541  CZE,LADNA L SHELL 8048  ";-1.78;"EUR";22.05
02-05-2019;02-05-2019;"Odsetki od limitu: 0.00 Odsetki od debetu: 0.01      ";0.00;"EUR";-23.13
01-05-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 19.54 USD 1080.00 MKD z dnia:2019-04-27 Kod MCC 5541  MKD,KICEVO DUKLA/B.P.  ";-20.27;"EUR";23.83
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 1.99 USD 210.00 RSD z dnia:2019-04-27 Kod MCC 4784  SRB,BEOGRAD NS DOLJEVAC PUT.SRBI  ";-2.06;"EUR";44.10
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: .76 USD 80.00 RSD z dnia:2019-04-27 Kod MCC 4784  SRB,PRESEVO JP PUTEVI SRBIJE  ";-0.79;"EUR";46.16
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 7.58 USD 800.00 RSD z dnia:2019-04-27 Kod MCC 4784  SRB,VRCIN JP PUTEVI SRBIJE  ";-7.86;"EUR";46.95
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 5.31 USD 560.00 RSD z dnia:2019-04-27 Kod MCC 4784  SRB,SUBOTICA JP PUTEVI SRBIJE  ";-5.51;"EUR";54.81
30-04-2019;28-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 7.81 USD 2250.00 HUF z dnia:2019-04-28 Kod MCC 5812  HUN,TATA KFC TATA M1  ";-8.10;"EUR";60.32
30-04-2019;28-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 42.33 USD 12203.00 HUF z dnia:2019-04-28 Kod MCC 5541  HUN,MOSONMAGYAROV MOL TO:LTO""A'LL.  ";-43.92;"EUR";68.42
30-04-2019;28-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 42.46 USD 12241.00 HUF z dnia:2019-04-28 Kod MCC 5541  HUN,PETOFISZALLAS M.PETROL PETO""FISZA'LL  ";-44.05;"EUR";112.34
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: 1.99 USD 110.00 MKD z dnia:2019-04-27 Kod MCC 5541  MKD,KICEVO BP KICEVO I BR.054  ";-2.06;"EUR";156.39
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: .54 USD 30.00 MKD z dnia:2019-04-27 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.56;"EUR";158.45
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: .54 USD 30.00 MKD z dnia:2019-04-27 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.56;"EUR";159.01
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: .72 USD 40.00 MKD z dnia:2019-04-27 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.75;"EUR";159.57
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: .72 USD 40.00 MKD z dnia:2019-04-27 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.75;"EUR";160.32
30-04-2019;27-04-2019;"Transakcja kart¹ debetow¹;obci¹¿enie; Kurs wymiany: .9638; Kwota w walucie rozliczeniowej: .72 USD 40.00 MKD z dnia:2019-04-27 Kod MCC 4784  MKD,SKOPJE JPDP  ";-0.75;"EUR";161.07
